conductor,run,seg_idx,verdict,source,judged_at
Abbado,-E6oeFzIRU8(01)__r00,1,clean,full_review,2026-08-13T12:58:28
Abbado,-E6oeFzIRU8(01)__r00,2,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,-nk7jFEKCHE(04)__r00,0,clean,full_review,2026-08-13T12:58:27
Abbado,-nk7jFEKCHE(04)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,0T7eMctuJLQ(01)__r00,0,clean,full_review,2026-08-13T12:58:26
Abbado,0T7eMctuJLQ(01)__r00,2,clean,full_review,2026-08-13T12:58:25
Abbado,0T7eMctuJLQ(01)__r00,3,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,1Jw6wpNLM9E(07)__r00,0,clean,full_review,2026-08-13T12:58:29
Abbado,3Fi8XYhmVOI(01)__r00,0,clean,full_review,2026-08-13T12:58:30
Abbado,3nihShVyqVE(01)__r02,0,contaminated,full_review,2026-08-13T12:58:17
Abbado,3pegLWxSBR8(03)__r00,1,contaminated,full_review,2026-08-13T12:58:24
Abbado,4USr2WgSOuo(06)__r00,0,contaminated,full_review,2026-08-13T12:58:34
Abbado,4USr2WgSOuo(06)__r00,1,contaminated,full_review,2026-08-13T12:58:35
Abbado,4USr2WgSOuo(06)__r00,2,contaminated,full_review,2026-08-13T12:58:36
Abbado,4USr2WgSOuo(06)__r00,3,clean,full_review,2026-08-13T12:58:39
Abbado,4USr2WgSOuo(06)__r00,4,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,4USr2WgSOuo(06)__r00,5,clean,full_review,2026-08-13T12:58:44
Abbado,4dFx0TweiCI(14)__r00,0,contaminated,full_review,2026-08-13T12:58:47
Abbado,4dFx0TweiCI(14)__r00,1,clean,full_review,2026-08-13T12:58:51
Abbado,4dFx0TweiCI(22)__r00,1,contaminated,full_review,2026-08-13T12:58:54
Abbado,4ohJEUZMEfk(05)__r00,1,clean,full_review,2026-08-13T12:58:59
Abbado,8NdeNCsF2K8(01)__r00,0,clean,full_review,2026-08-13T12:59:01
Abbado,9U3tja1CmCw(03)__r00,0,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,9U3tja1CmCw(03)__r00,1,clean,full_review,2026-08-13T12:59:04
Abbado,9U3tja1CmCw(03)__r00,3,clean,full_review,2026-08-13T12:59:06
Abbado,A6QoP6-bnR8(01)__r00,0,contaminated,audit_sample_60,2026-08-13T00:00:00
Abbado,A6QoP6-bnR8(01)__r00,1,contaminated,full_review,2026-08-13T12:59:11
Abbado,A6QoP6-bnR8(01)__r00,2,contaminated,full_review,2026-08-13T12:59:13
Abbado,A6QoP6-bnR8(01)__r00,3,clean,full_review,2026-08-13T12:59:18
Abbado,A6QoP6-bnR8(01)__r00,4,clean,full_review,2026-08-13T12:59:21
Abbado,A6QoP6-bnR8(01)__r00,5,clean,full_review,2026-08-13T12:59:28
Abbado,AUnKeRz5n0c(02)__r00,0,clean,full_review,2026-08-13T12:59:32
Abbado,AUnKeRz5n0c(03)__r00,1,clean,full_review,2026-08-13T13:04:52
Abbado,AiwhbZf3oZM(05)__r00,1,clean,full_review,2026-08-13T13:04:55
Abbado,AiwhbZf3oZM(08)__r00,1,clean,full_review,2026-08-13T13:04:56
Abbado,AiwhbZf3oZM(10)__r00,1,clean,full_review,2026-08-13T13:04:59
Abbado,GmX0UbZlqZk(02)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,GmX0UbZlqZk(10)__r00,0,clean,full_review,2026-08-13T13:05:03
Abbado,K1BHmPhZwpY(08)__r00,1,contaminated,full_review,2026-08-13T13:05:07
Abbado,PD9B4qi3mNM(06)__r00,1,clean,full_review,2026-08-13T13:05:12
Abbado,PD9B4qi3mNM(07)__r03,0,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,SExR2h20HlQ(01)__r00,0,clean,full_review,2026-08-13T13:05:13
Abbado,SgSNgzA37To(01)__r00,0,clean,full_review,2026-08-13T13:05:45
Abbado,T4Zxjk7eYS4(10)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,WLP6kqcmPRI(01)__r00,4,clean,full_review,2026-08-13T13:05:48
Abbado,WLP6kqcmPRI(01)__r00,5,clean,full_review,2026-08-13T13:05:51
Abbado,YgIrf_zTJco(05)__r00,1,contaminated,full_review,2026-08-13T13:05:54
Abbado,YnfhInZLmUQ(01)__r00,1,clean,full_review,2026-08-13T13:06:03
Abbado,dPYhMekVRe4(09)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,f2LLIXxWKJo(09)__r01,1,clean,full_review,2026-08-13T13:06:04
Abbado,j8cHeS6ukx0(01)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Abbado,mhYCaQkbkyw(03)__r00,0,clean,full_review,2026-08-13T13:06:04
Abbado,pBnz4O5L6bQ(01)__r00,0,clean,full_review,2026-08-13T13:06:05
Abbado,uEX8xV6PxW8(05)__r00,0,clean,full_review,2026-08-13T13:10:30
Abbado,vOvXhyldUko(07)__r00,1,contaminated,audit_sample_60,2026-08-13T00:00:00
Abbado,vOvXhyldUko(107)__r00,1,clean,full_review,2026-08-13T13:10:31
Abbado,xX_0NhiMT_w(09)__r00,2,clean,full_review,2026-08-13T13:10:32
Abbado,zJXxL8xE09c(02)__r00,1,clean,full_review,2026-08-13T13:10:33
Abbado,zJXxL8xE09c(02)__r05,1,clean,full_review,2026-08-13T13:10:45
Bernstein,02jscWEtHZI(04)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,1LzBXe9--oM(01)__r00,2,clean,full_review,2026-08-13T13:10:42
Bernstein,1LzBXe9--oM(02)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,40vp0Veqglg(07)__r00,1,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,40vp0Veqglg(36)__r00,0,clean,full_review,2026-08-13T13:10:40
Bernstein,40vp0Veqglg(36)__r00,2,clean,full_review,2026-08-13T13:10:38
Bernstein,40vp0Veqglg(41)__r03,0,clean,full_review,2026-08-13T13:10:48
Bernstein,422-yb8TXj8(15)__r00,1,clean,full_review,2026-08-13T13:10:51
Bernstein,56qZblncQrs(02)__r00,2,clean,full_review,2026-08-13T13:10:57
Bernstein,56qZblncQrs(02)__r00,3,clean,full_review,2026-08-13T13:10:54
Bernstein,56qZblncQrs(02)__r00,4,clean,full_review,2026-08-13T13:11:25
Bernstein,56qZblncQrs(02)__r00,5,contaminated,audit_sample_60,2026-08-13T00:00:00
Bernstein,56qZblncQrs(02)__r00,7,contaminated,full_review,2026-08-13T13:11:22
Bernstein,56qZblncQrs(02)__r00,8,contaminated,full_review,2026-08-13T13:11:28
Bernstein,9KSESLJ0LWA(108)__r02,2,clean,full_review,2026-08-13T13:11:30
Bernstein,9KSESLJ0LWA(15)__r01,2,clean,full_review,2026-08-13T13:11:39
Bernstein,9KSESLJ0LWA(58)__r00,5,clean,full_review,2026-08-13T13:11:38
Bernstein,9KSESLJ0LWA(67)__r01,0,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,9KSESLJ0LWA(85)__r00,1,clean,full_review,2026-08-13T13:11:37
Bernstein,AfakIg9E_ao(38)__r05,4,clean,full_review,2026-08-13T13:11:36
Bernstein,AfakIg9E_ao(45)__r01,1,contaminated,full_review,2026-08-13T13:11:41
Bernstein,CplmVMyPH80(15)__r00,1,clean,full_review,2026-08-13T13:11:45
Bernstein,CplmVMyPH80(15)__r00,2,clean,full_review,2026-08-13T13:11:46
Bernstein,CplmVMyPH80(36)__r00,1,clean,full_review,2026-08-13T13:11:47
Bernstein,CplmVMyPH80(40)__r00,0,clean,full_review,2026-08-13T13:16:12
Bernstein,CplmVMyPH80(57)__r00,0,clean,full_review,2026-08-13T13:16:13
Bernstein,CplmVMyPH80(57)__r00,2,clean,full_review,2026-08-13T13:16:14
Bernstein,CplmVMyPH80(66)__r00,0,clean,full_review,2026-08-13T13:16:15
Bernstein,CplmVMyPH80(70)__r00,0,clean,full_review,2026-08-13T13:16:18
Bernstein,EvnRC7tSX50(01)__r03,3,clean,full_review,2026-08-13T13:16:22
Bernstein,EvnRC7tSX50(01)__r04,2,clean,full_review,2026-08-13T13:16:28
Bernstein,EvnRC7tSX50(01)__r04,4,contaminated,full_review,2026-08-13T13:16:27
Bernstein,EvnRC7tSX50(01)__r10,1,clean,full_review,2026-08-13T13:20:27
Bernstein,EvnRC7tSX50(01)__r10,8,contaminated,full_review,2026-08-13T13:20:26
Bernstein,EvnRC7tSX50(01)__r16,5,clean,full_review,2026-08-13T13:20:28
Bernstein,EvnRC7tSX50(01)__r16,6,contaminated,audit_sample_60,2026-08-13T00:00:00
Bernstein,EvnRC7tSX50(01)__r16,7,contaminated,full_review,2026-08-13T13:20:21
Bernstein,EvnRC7tSX50(02)__r00,0,clean,full_review,2026-08-13T13:20:53
Bernstein,EvnRC7tSX50(02)__r01,2,clean,full_review,2026-08-13T13:20:51
Bernstein,EvnRC7tSX50(02)__r06,0,clean,full_review,2026-08-13T13:20:50
Bernstein,EvnRC7tSX50(02)__r06,1,clean,full_review,2026-08-13T13:20:49
Bernstein,EvnRC7tSX50(02)__r06,3,clean,full_review,2026-08-13T13:21:07
Bernstein,EvnRC7tSX50(02)__r06,5,clean,full_review,2026-08-13T13:21:06
Bernstein,EvnRC7tSX50(02)__r06,6,clean,full_review,2026-08-13T13:21:05
Bernstein,HpJMsA_nakE(20)__r02,0,clean,full_review,2026-08-13T13:21:18
Bernstein,IS8FO6DEwfU(03)__r01,0,clean,full_review,2026-08-13T13:21:27
Bernstein,IS8FO6DEwfU(03)__r01,2,clean,full_review,2026-08-13T13:21:26
Bernstein,IS8FO6DEwfU(03)__r01,4,clean,full_review,2026-08-13T13:21:26
Bernstein,MFkLJzd7CH8(06)__r00,1,clean,full_review,2026-08-13T13:21:25
Bernstein,MFkLJzd7CH8(07)__r02,0,clean,full_review,2026-08-13T13:24:35
Bernstein,MFkLJzd7CH8(132)__r00,1,clean,full_review,2026-08-13T13:24:34
Bernstein,MFkLJzd7CH8(15)__r01,1,clean,full_review,2026-08-13T13:24:33
Bernstein,MFkLJzd7CH8(36)__r00,0,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,MFkLJzd7CH8(40)__r00,1,clean,full_review,2026-08-13T13:24:32
Bernstein,MFkLJzd7CH8(68)__r00,0,clean,full_review,2026-08-13T13:25:57
Bernstein,MFkLJzd7CH8(68)__r00,1,clean,full_review,2026-08-13T13:25:56
Bernstein,MFkLJzd7CH8(70)__r00,1,clean,full_review,2026-08-13T13:25:55
Bernstein,MFkLJzd7CH8(82)__r00,0,clean,full_review,2026-08-13T13:25:54
Bernstein,MFkLJzd7CH8(82)__r00,3,clean,full_review,2026-08-13T13:30:07
Bernstein,NK8-Zg-8JYM(02)__r00,1,clean,full_review,2026-08-13T13:30:14
Bernstein,NK8-Zg-8JYM(02)__r00,2,clean,full_review,2026-08-13T13:30:12
Bernstein,NK8-Zg-8JYM(03)__r00,0,clean,full_review,2026-08-13T13:30:11
Bernstein,NK8-Zg-8JYM(03)__r00,1,clean,full_review,2026-08-13T13:35:50
Bernstein,RkP33esCi5g(02)__r00,2,clean,full_review,2026-08-13T13:35:49
Bernstein,RkP33esCi5g(03)__r00,0,clean,full_review,2026-08-13T13:35:48
Bernstein,RkP33esCi5g(03)__r00,3,contaminated,full_review,2026-08-13T13:35:47
Bernstein,RkP33esCi5g(08)__r00,1,clean,full_review,2026-08-13T13:37:02
Bernstein,RkP33esCi5g(09)__r00,2,clean,full_review,2026-08-13T13:37:01
Bernstein,RkP33esCi5g(25)__r01,1,clean,full_review,2026-08-13T13:37:00
Bernstein,RkP33esCi5g(25)__r01,3,clean,full_review,2026-08-13T13:36:59
Bernstein,RkP33esCi5g(25)__r01,4,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,RkP33esCi5g(28)__r02,1,clean,full_review,2026-08-13T13:37:10
Bernstein,RkP33esCi5g(28)__r02,4,clean,full_review,2026-08-13T13:37:11
Bernstein,RkP33esCi5g(30)__r00,0,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,_MjEp_SAfS0(61)__r00,2,clean,full_review,2026-08-13T13:37:12
Bernstein,iYgirjU-9UE(02)__r04,0,clean,full_review,2026-08-13T13:37:12
Bernstein,iYgirjU-9UE(02)__r06,2,clean,full_review,2026-08-13T13:37:29
Bernstein,iYgirjU-9UE(02)__r07,1,clean,full_review,2026-08-13T13:37:28
Bernstein,iYgirjU-9UE(02)__r08,1,clean,full_review,2026-08-13T13:37:30
Bernstein,iYgirjU-9UE(02)__r08,2,clean,full_review,2026-08-13T13:37:32
Bernstein,iYgirjU-9UE(02)__r10,0,contaminated,full_review,2026-08-13T13:37:26
Bernstein,iYgirjU-9UE(02)__r10,1,clean,full_review,2026-08-13T13:37:27
Bernstein,iYgirjU-9UE(02)__r10,4,clean,full_review,2026-08-13T13:37:31
Bernstein,iYgirjU-9UE(02)__r10,5,clean,full_review,2026-08-13T13:37:31
Bernstein,iYgirjU-9UE(02)__r10,6,clean,full_review,2026-08-13T13:37:54
Bernstein,iYgirjU-9UE(02)__r10,7,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,iYgirjU-9UE(02)__r10,8,clean,full_review,2026-08-13T13:42:52
Bernstein,iYgirjU-9UE(02)__r10,9,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,iYgirjU-9UE(02)__r10,10,clean,full_review,2026-08-13T13:42:51
Bernstein,ljG5OUNEkMY(28)__r00,0,clean,full_review,2026-08-13T13:42:50
Bernstein,m0evC5OMofs(13)__r00,2,clean,audit_sample_60,2026-08-13T00:00:00
Bernstein,m0evC5OMofs(13)__r00,3,clean,full_review,2026-08-13T13:43:06
