conductor,video_id,year_title,year_manual,title,year_desc,year_desc_conf,year_desc_note
Abbado,x_IbwlSXHpQ,,,A. Bruckner - Symphony No. 7 - Lucerne Festival Orchestra - Claudio Abbado,,,
Abbado,dPYhMekVRe4,2000,,ARGERICH / ABBADO: Beethoven Piano Concerto no.2 | Scarlatti Sonata K.141 [2000],2000,context,"laudio Abbado, conductor Recorded: June, 2000. Teatro Grande, Brescia"
Abbado,tp_WeHUKoXM,,,Bach: Brandenburg Concerto No. 4 | Claudio Abbado & the Orchestra Mozart,2014,context,"bbado died in Bologna on January 20, 2014, aged 80, following a lo"
Abbado,gIgqeA76cdU,,,Bach: Brandenburg Concerto No. 5 | Claudio Abbado & the Orchestra Mozart,2014,context,"bbado died in Bologna on January 20, 2014, aged 80, following a lo"
Abbado,-Tm0Phjiouk,,,"Beethoven - Piano Concerto No. 3 (Brendel, Abbado)",,,
Abbado,f8tH7lGIQa0,,,"Beethoven - Piano Concerto No. 4 (Pollini, Abbado)",,,
Abbado,4dFx0TweiCI,,,Beethoven Symphony No 7 A major Claudio Abbado (restored),,,
Abbado,msbZuhrNiEo,,,Beethoven: Symphony No. 2 / Abbado - Berliner Philharmoniker,2001,context,"di Santa Cecilia, Rome, 12 February 2001 The Berliner Philharmoni"
Abbado,pBnz4O5L6bQ,,,"Beethoven: Symphony No. 3 ""Eroica"" / Abbado - Berliner Philharmoniker",2001,context,"di Santa Cecilia, Rome, 9 February 2001 The Berliner Philharmoni"
Abbado,YgIrf_zTJco,,,Beethoven: Symphony No. 9 / Abbado - Berliner Philharmoniker,2000,context,"juste, chorus master · / Recorded at the Berlin Philharmonie, 1 May 2000 The Ber"
Abbado,QTcc0eNyHug,,,Berliner Philharmoniker & Claudio Abbado – Mozart: Requiem In D Minor: Sequentia: Dies Irae,1999,context,"Sequentia: Dies Irae On July 16, 1999, the tenth anniversary o"
Abbado,4ohJEUZMEfk,,,Berliner Philharmoniker - Mozart Requiem - Claudio Abbado - The Herbert von Karajan Memorial Concert,,,
Abbado,QAMxkietiik,,,Brahms: Hungarian Dance No. 5 / Abbado - Berliner Philharmoniker,1996,context,"erliner Philharmoniker / Recorded at the Berlin Philharmonie, 31 December 1996. "
Abbado,23cLITkT16k,,,"Bruckner Symphony 9 - 1st mov. - Coda  (Abbado, Karajan, Bernstein)",,,
Abbado,SgSNgzA37To,,,"Claude Debussy: La Mer (Lucerne Festival Orchestra, Claudio Abbado)",2003,context,"cerne Festival Orchestra Recorded live at the Lucerne Festival, Summer 2003 Conc"
Abbado,oG8T8twoVhg,,,"Claude Debussy: Le Martyre de Saint Sébastien (Lucerne Festival Orchestra, Claudio Abbado)",2003,context,"erne Festival Orchestra. Recorded live at Lucerne Festival, Summer 2003, at the "
Abbado,mhYCaQkbkyw,,,Claudio Abbado  - Mozart Requiem - Lacrimosa,,,
Abbado,ZyQmdXnv3Pg,,,"Claudio Abbado & Simón Bolívar Youth Orchestra: Tchaikovsky - Sympony No. 6, Op. 74",2010,context,"first joint audiovisual concert recording from 2010. In this video, an impas"
Abbado,uEX8xV6PxW8,,,Claudio Abbado -  Mahler Symphony No. 9 - Adagio,2014,context,"udio Abbado's death, the concert is available for free from January 23, 2014 to "
Abbado,xX_0NhiMT_w,,,"Claudio Abbado - Brahms: 21 Hungarian Dances, WoO 1: No. 5 in G Minor. Allegro",,,
Abbado,O-D7bBpuzLs,,,Claudio Abbado - Mahler: Symphony No. 10 (Ed. Deryck Cooke): I. Adagio: a. Andante,,,
Abbado,f2LLIXxWKJo,2013,,Claudio Abbado - the last video recording from LUCERNE FESTIVAL 2013,2013,context,Abbado - the last video recording from LUCERNE FESTIVAL 2013 Accentus Music's ne
Abbado,QdxvC7NNSLQ,,,Claudio Abbado Mahler  Symphony 7,,,
Abbado,SExR2h20HlQ,,,Claudio Abbado conducts Beethoven Symphony No. 5,,,
Abbado,gldZR3Bo46g,,,Claudio Abbado conducts Mahler Symphony No.2,,,
Abbado,K1BHmPhZwpY,,,Claudio Abbado conducts Mahler Symphony No.5,,,
Abbado,V4bCIECG1WU,,,Claudio Abbado in a timeless classic with the Berlin Philharmonic and Daniel Barenboim at the piano,1994,context,"ado — Conductor Concert recorded in Meininger Staatstheater (Meiningen, Germany)"
Abbado,A6QoP6-bnR8,,,"Claudio Abbado with the Berliner Philharmoniker - Symphony No. 1 in D Major, ""Titan"" - Mahler",,,
Abbado,8NdeNCsF2K8,,,"Claudio Abbado – Beethoven: Symphony No. 5 in C minor, Op. 67: I. Allegro con brio (excerpt)",,,
Abbado,Hon8xK1OjUQ,,,Claudio Abbado – Beethoven: Symphony No. 6 'Pastorale': I. Allegro ma non troppo (excerpt),,,
Abbado,0x5ueaz3D9c,,,"Claudio Abbado – Beethoven: Symphony No.7 in A Major, Op.92: II. Allegretto (excerpt)",,,
Abbado,D_JyDU1423Y,,,Claudio Abbado – Mahler: Symphony No. 5 in C Sharp Minor: IV. Adagietto. Sehr Langsam (excerpt),,,
Abbado,oFdSnt3eUac,,,"Claudio Abbado – Schönberg: Symphonic Poem ""Pelléas et Mélisande"", Op. 5: love scene and farewell",,,
Abbado,6OZ8pngQePI,1989,,"Claudio Abbado, Berliner Philharmoniker (1989) - Mahler: Symphony No. 1 in D Major “Titan”",1989,context,"Berliner Philharmoniker Recorded at the Berlin Philharmonie, 16 December 1989 (L"
Abbado,4USr2WgSOuo,,,"Claudio Abbado, Berliner Philharmoniker – Symphonie No. 7: IV. Allegro con brio (excerpt)",,,
Abbado,IzS4KmEqUpE,,,"Claudio Abbado, Berliner Philharmoniker – Symphony No. 8: II. Allegretto scherzando (excerpt)",,,
Abbado,WLP6kqcmPRI,,,"Claudio Abbado, moved after Mozart Requiem in Lucerne - 40 seconds silence",1999,context,"ish Radio Choir singer Recorded at Salzburger Dom Cathedral, Salzburg, Austria i"
Abbado,3Fi8XYhmVOI,1997,,Claudio Abbado: New Years Eve Concert Gala from Berlin 1997,1997,context,io Abbado: New Years Eve Concert Gala from Berlin 1997 Georges Bizet: Selection
Abbado,j8cHeS6ukx0,,,Conductors - Claudio Abbado - Retrospective,,,
