conductor,video_id,clip_num,run,run_dir,fps,n_frames,kept_frames,longest_seg_s,disposition,source_verdict,verdict,preview,judged_at
Abbado,-E6oeFzIRU8,1,-E6oeFzIRU8(01)__r00,skeletons/Abbado/-E6oeFzIRU8(01)__r00,29.970,206,189,2.47,keep,,accept,,
Abbado,-K8gmmKd5HM,4,-K8gmmKd5HM(04)__r00,skeletons/Abbado/-K8gmmKd5HM(04)__r00,25.000,79,79,3.16,keep,,accept,,
Abbado,-K8gmmKd5HM,4,-K8gmmKd5HM(04)__r01,skeletons/Abbado/-K8gmmKd5HM(04)__r01,25.000,98,98,3.92,keep,,accept,,
Abbado,-Tm0Phjiouk,2,-Tm0Phjiouk(02)__r00,skeletons/Abbado/-Tm0Phjiouk(02)__r00,24.000,56,56,2.33,keep,,accept,,
Abbado,-Tm0Phjiouk,4,-Tm0Phjiouk(04)__r00,skeletons/Abbado/-Tm0Phjiouk(04)__r00,24.000,221,198,8.25,keep,,accept,,
Abbado,-Tm0Phjiouk,6,-Tm0Phjiouk(06)__r00,skeletons/Abbado/-Tm0Phjiouk(06)__r00,24.000,315,315,13.12,keep,,accept,,
Abbado,-Tm0Phjiouk,8,-Tm0Phjiouk(08)__r00,skeletons/Abbado/-Tm0Phjiouk(08)__r00,24.000,61,61,2.54,keep,,accept,,
Abbado,-Tm0Phjiouk,8,-Tm0Phjiouk(08)__r01,skeletons/Abbado/-Tm0Phjiouk(08)__r01,24.000,82,81,3.38,keep,,accept,,
Abbado,-Tm0Phjiouk,9,-Tm0Phjiouk(09)__r00,skeletons/Abbado/-Tm0Phjiouk(09)__r00,24.000,94,94,3.92,keep,,accept,,
Abbado,-nk7jFEKCHE,2,-nk7jFEKCHE(02)__r00,skeletons/Abbado/-nk7jFEKCHE(02)__r00,25.000,308,293,11.72,keep,,accept,,
Abbado,-nk7jFEKCHE,3,-nk7jFEKCHE(03)__r00,skeletons/Abbado/-nk7jFEKCHE(03)__r00,25.000,841,841,33.64,keep,,accept,,
Abbado,-nk7jFEKCHE,4,-nk7jFEKCHE(04)__r00,skeletons/Abbado/-nk7jFEKCHE(04)__r00,25.000,1377,1377,33.52,keep,,accept,,
Abbado,-nk7jFEKCHE,9,-nk7jFEKCHE(09)__r00,skeletons/Abbado/-nk7jFEKCHE(09)__r00,25.000,58,58,2.32,keep,,accept,,
Abbado,0Oo4z37OUEI,1,0Oo4z37OUEI(01)__r00,skeletons/Abbado/0Oo4z37OUEI(01)__r00,25.000,90,90,3.60,keep,,accept,,
Abbado,0Oo4z37OUEI,2,0Oo4z37OUEI(02)__r00,skeletons/Abbado/0Oo4z37OUEI(02)__r00,25.000,291,255,10.20,keep,,accept,,
